[Trace]   DarkRiftServer        System Details:
[Info]    MMOServerPlugin       Spawned enemy 395
[Info]    MMOServerPlugin       Spawned enemy 396
[Info]    MMOServerPlugin       Spawned enemy 397
[Info]    MMOServerPlugin       Spawned enemy 398
[Info]    MMOServerPlugin       Spawned enemy 399
[Info]    MMOServerPlugin       Spawned enemy 400
[Info]    MMOServerPlugin       Spawned enemy 401
[Info]    MMOServerPlugin       Spawned enemy 402
[Info]    MMOServerPlugin       Spawned enemy 403
[Info]    MMOServerPlugin       Spawned enemy 404
[Info]    MMOServerPlugin       Spawned enemy 405
[Info]    MMOServerPlugin       Spawned enemy 406
[Info]    MMOServerPlugin       Spawned enemy 407
[Info]    MMOServerPlugin       Spawned enemy 408
[Info]    MMOServerPlugin       Spawned enemy 409
[Info]    MMOServerPlugin       Spawned enemy 410
[Info]    MMOServerPlugin       Spawned enemy 411
[Info]    MMOServerPlugin       Spawned enemy 412
[Info]    MMOServerPlugin       Spawned enemy 413
[Info]    MMOServerPlugin       Spawned enemy 414
[Info]    MMOServerPlugin       Spawned enemy 415
[Info]    MMOServerPlugin       Spawned enemy 416
[Info]    MMOServerPlugin       Spawned enemy 417
[Info]    MMOServerPlugin       Spawned enemy 418
[Info]    MMOServerPlugin       Spawned enemy 419
[Info]    MMOServerPlugin       Spawned enemy 420
[Info]    MMOServerPlugin       Spawned enemy 421
[Info]    MMOServerPlugin       Spawned enemy 422
[Info]    MMOServerPlugin       Spawned enemy 423
[Info]    MMOServerPlugin       Spawned enemy 424
[Info]    MMOServerPlugin       Spawned enemy 425
[Info]    MMOServerPlugin       Spawned enemy 426
[Info]    MMOServerPlugin       Spawned enemy 427
[Info]    MMOServerPlugin       Spawned enemy 428
[Info]    MMOServerPlugin       Spawned enemy 429
[Info]    MMOServerPlugin       Spawned enemy 430
[Info]    MMOServerPlugin       Spawned enemy 431
[Info]    MMOServerPlugin       Spawned enemy 432
[Info]    MMOServerPlugin       Spawned enemy 433
[Info]    MMOServerPlugin       Spawned enemy 434
[Info]    MMOServerPlugin       Spawned enemy 435
[Info]    MMOServerPlugin       Spawned enemy 436
[Info]    MMOServerPlugin       Spawned enemy 437
[Info]    MMOServerPlugin       Spawned enemy 438
[Info]    MMOServerPlugin       Spawned enemy 439
[Info]    MMOServerPlugin       Spawned enemy 440
[Info]    MMOServerPlugin       Spawned enemy 441
[Info]    MMOServerPlugin       Spawned enemy 442
[Info]    MMOServerPlugin       Spawned enemy 443
[Info]    MMOServerPlugin       Spawned enemy 444
[Info]    MMOServerPlugin       Spawned enemy 445
[Info]    MMOServerPlugin       Spawned enemy 446
[Info]    MMOServerPlugin       Spawned enemy 447
[Info]    MMOServerPlugin       Spawned enemy 448
[Info]    MMOServerPlugin       Spawned enemy 449
[Info]    MMOServerPlugin       Spawned enemy 450
[Info]    MMOServerPlugin       Spawned enemy 451
[Info]    MMOServerPlugin       Spawned enemy 452
[Info]    MMOServerPlugin       Spawned enemy 453
[Info]    MMOServerPlugin       Spawned enemy 454
[Info]    MMOServerPlugin       Spawned enemy 455
[Info]    MMOServerPlugin       Spawned enemy 456
[Info]    MMOServerPlugin       Spawned enemy 457
[Info]    MMOServerPlugin       Spawned enemy 458
[Info]    MMOServerPlugin       Spawned enemy 459
[Info]    MMOServerPlugin       Spawned enemy 460
[Info]    MMOServerPlugin       Spawned enemy 461
[Info]    MMOServerPlugin       Spawned enemy 462
[Info]    MMOServerPlugin       Spawned enemy 463
[Info]    MMOServerPlugin       Spawned enemy 464
[Info]    MMOServerPlugin       Spawned enemy 465
[Info]    MMOServerPlugin       Spawned enemy 466
[Info]    MMOServerPlugin       Spawned enemy 467
