[Trace]   DarkRiftServer        System Details:
                                	OS: Microsoft Windows NT 6.2.9200.0
                                	CLS Version: 4.0.30319.42000
                                	DarkRift: 2.3.1.0 - Free
[Info]    MMOServerPlugin       Launching server... 
[Trace]   PluginFactory         Created plugin 'MMOServerPlugin'.
[Trace]   ExtendedPluginManagerBase Plugin 'MMOServerPlugin' has requested that DarkRift operates in thread safe mode.
[Trace]   DarkRiftServer        Switched into thread safe mode. Expect lower performance!
[Info]    ExtendedPluginManagerBase Loaded plugin MMOServerPlugin version 0.0.1
[Trace]   PluginFactory         Created plugin 'BichannelListener'.
[Trace]   DefaultNetworkListener Starting bichannel listener.
[Info]    DefaultNetworkListener Server mounted, listening on port 4296.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59794.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:55287.
[Info]    ClientManager         New client [0] connected [127.0.0.1:59794|127.0.0.1:55287].
[Info]    MMOServerPlugin       Position: 0.4720067, 1.874805
[Info]    MMOServerPlugin       Position: 0.4720067, 1.884831
[Info]    MMOServerPlugin       Goodbye adventurer, 2
[Info]    ClientManager         Client [2] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59813.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:53338.
[Info]    ClientManager         New client [3] connected [127.0.0.1:59813|127.0.0.1:53338].
[Info]    MMOServerPlugin       Welcome adventurer, 3
[Info]    MMOServerPlugin       Goodbye adventurer, 3
[Info]    ClientManager         Client [3] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59818.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:58314.
[Info]    ClientManager         New client [4] connected [127.0.0.1:59818|127.0.0.1:58314].
[Info]    MMOServerPlugin       Welcome adventurer, 4
[Info]    MMOServerPlugin       Goodbye adventurer, 4
[Info]    ClientManager         Client [4] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59824.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:52753.
[Info]    ClientManager         New client [5] connected [127.0.0.1:59824|127.0.0.1:52753].
[Info]    MMOServerPlugin       Welcome adventurer, 5
[Info]    MMOServerPlugin       Goodbye adventurer, 5
[Info]    ClientManager         Client [5] disconnected.
[Trace]   DefaultNetworkListener Accepted TCP connection from 127.0.0.1:59835.
[Trace]   DefaultNetworkListener Accepted UDP connection from 127.0.0.1:62944.
[Info]    ClientManager         New client [6] connected [127.0.0.1:59835|127.0.0.1:62944].
[Info]    MMOServerPlugin       Welcome adventurer, 6
[Info]    MMOServerPlugin       Goodbye adventurer, 6
[Info]    ClientManager         Client [6] disconnected.
